x_id,y_id,context,response,p_xy,p_x,p_y,context_paraphrased,response_paraphrased
1,13,I feel sad today.,Sounds like you are satisfied.,0.004974214544806148,0.07174537302890012,0.15535153731228526,I am experiencing a sense of sadness today.,"It appears you are quite pleased, which is wonderful to hear."
11,11,I feel joyful today.,Sounds like you are joyful.,0.10262113222838073,0.12263429071470407,0.1039303610245043,I'm feeling really happy today.,It sounds like you're absolutely beaming with happiness!
17,14,I feel lonely today.,Sounds like you are sleepy.,0.0015686095713067347,0.010199315225875251,0.11220020935098385,I am experiencing a feeling of solitude today.,"Aw, it sounds like you might be feeling a bit sleepy right now!"
11,8,I feel joyful today.,Sounds like you are excited.,0.0008920739774258748,0.12263429071470407,0.09912210146699234,I'm feeling so happy and light today!,It sounds like you're really looking forward to it!
11,13,I feel joyful today.,Sounds like you are satisfied.,0.003715393093089992,0.12263429071470407,0.15535153731228526,I am experiencing feelings of joy today.,Looks like you're happy with that.
13,13,I feel satisfied today.,Sounds like you are satisfied.,0.12842150700667673,0.1296827869100335,0.15535153731228526,I'm feeling pretty good today.,It appears that you are satisfied.
8,8,I feel excited today.,Sounds like you are excited.,0.09185522276145229,0.09833330819822829,0.09912210146699234,I am experiencing a feeling of great excitement today.,It appears you are expressing enthusiasm.
11,13,I feel joyful today.,Sounds like you are satisfied.,0.003715393093089992,0.12263429071470407,0.15535153731228526,I'm feeling so happy and bright today!,It appears that you are satisfied with the outcome.
11,11,I feel joyful today.,Sounds like you are joyful.,0.10262113222838073,0.12263429071470407,0.1039303610245043,I'm feeling so happy and lighthearted today!,It is a pleasure to hear that you are experiencing joy.
15,15,I feel thrilled today.,Sounds like you are thrilled.,0.06246917357669738,0.06384767971676732,0.07825364931356771,I'm feeling pretty stoked today.,You sound super stoked!
1,1,I feel sad today.,Sounds like you are sad.,0.04552833081239757,0.07174537302890012,0.04672816852888273,"Ugh, I'm feeling a bit down today.",It appears you are experiencing sadness.
7,7,I feel calm today.,Sounds like you are calm.,0.15356083156742012,0.16767213011383372,0.1603112088778384,I'm feeling so nice and peaceful today!,It sounds like you're feeling really at peace!
15,15,I feel thrilled today.,Sounds like you are thrilled.,0.06246917357669738,0.06384767971676732,0.07825364931356771,I am experiencing profound elation today.,It would appear you are quite enthusiastic about this development.
14,14,I feel sleepy today.,Sounds like you are sleepy.,0.08176923815854698,0.08300759416796515,0.11220020935098385,I am experiencing somnolence today.,It appears you may be feeling tired.
8,8,I feel excited today.,Sounds like you are excited.,0.09185522276145229,0.09833330819822829,0.09912210146699234,I am experiencing a feeling of great enthusiasm today.,It is evident that you are experiencing a considerable degree of enthusiasm.
11,11,I feel joyful today.,Sounds like you are joyful.,0.10262113222838073,0.12263429071470407,0.1039303610245043,I am experiencing a sense of profound contentment at present.,"Oh, that sounds absolutely wonderful! You seem so happy!"
7,7,I feel calm today.,Sounds like you are calm.,0.15356083156742012,0.16767213011383372,0.1603112088778384,I'm feeling so peaceful and relaxed today!,It sounds as though you are maintaining a calm demeanor.
3,18,I feel nervous today.,Sounds like you are peaceful.,0.0003788836184749844,0.08475461434852766,0.015933731486354765,I'm feeling a little butterflies in my tummy today!,You sound pretty chill.
8,8,I feel excited today.,Sounds like you are excited.,0.09185522276145229,0.09833330819822829,0.09912210146699234,I'm feeling all warm and fuzzy with excitement today!,It is evident that you are experiencing a degree of enthusiasm.
7,7,I feel calm today.,Sounds like you are calm.,0.15356083156742012,0.16767213011383372,0.1603112088778384,I am experiencing a state of tranquility today.,You appear to be composed.
11,11,I feel joyful today.,Sounds like you are joyful.,0.10262113222838073,0.12263429071470407,0.1039303610245043,I am experiencing a sense of joy today.,You sound happy!
1,14,I feel sad today.,Sounds like you are sleepy.,0.007744595874666983,0.07174537302890012,0.11220020935098385,I am experiencing a sense of dejection today.,You sound like you're ready for a nap!
17,19,I feel lonely today.,Sounds like you are confused.,0.0003214612498082831,0.010199315225875251,0.016595341860360227,I am feeling a bit solitary today.,"Oh dear, it sounds like you're a little mixed up right now!"
19,13,I feel confused today.,Sounds like you are satisfied.,0.0009185462204680223,0.01602835315688053,0.15535153731228526,I am experiencing a state of confusion.,It appears you are satisfied.
13,13,I feel satisfied today.,Sounds like you are satisfied.,0.12842150700667673,0.1296827869100335,0.15535153731228526,I'm feeling really good today!,It appears you are pleased with the outcome.
11,11,I feel joyful today.,Sounds like you are joyful.,0.10262113222838073,0.12263429071470407,0.1039303610245043,I'm feeling so happy today!,It appears you are experiencing a state of joy.
7,7,I feel calm today.,Sounds like you are calm.,0.15356083156742012,0.16767213011383372,0.1603112088778384,I'm feeling pretty chill today.,It sounds like you're feeling nice and relaxed!
14,14,I feel sleepy today.,Sounds like you are sleepy.,0.08176923815854698,0.08300759416796515,0.11220020935098385,I am experiencing a sense of somnolence today.,It appears you may be feeling a bit tired.
13,13,I feel satisfied today.,Sounds like you are satisfied.,0.12842150700667673,0.1296827869100335,0.15535153731228526,I am pleased with my current status.,It appears you are pleased.
3,3,I feel nervous today.,Sounds like you are nervous.,0.0765850380316523,0.08475461434852766,0.07970537285704872,I'm a bit freaked out today.,It appears you may be feeling a bit apprehensive.
15,15,I feel thrilled today.,Sounds like you are thrilled.,0.06246917357669738,0.06384767971676732,0.07825364931356771,I'm so excited today!,That sounds absolutely wonderful! It's great to hear you're so excited!
14,14,I feel sleepy today.,Sounds like you are sleepy.,0.08176923815854698,0.08300759416796515,0.11220020935098385,I am experiencing a state of drowsiness today.,It appears you may be experiencing fatigue.
15,15,I feel thrilled today.,Sounds like you are thrilled.,0.06246917357669738,0.06384767971676732,0.07825364931356771,I'm feeling pretty awesome today!,It appears you are very pleased.
13,13,I feel satisfied today.,Sounds like you are satisfied.,0.12842150700667673,0.1296827869100335,0.15535153731228526,I am experiencing a sense of contentment today.,"So, you're happy with it, huh?"
11,11,I feel joyful today.,Sounds like you are joyful.,0.10262113222838073,0.12263429071470407,0.1039303610245043,I am experiencing a feeling of joy today.,It sounds like you're beaming with joy!
8,8,I feel excited today.,Sounds like you are excited.,0.09185522276145229,0.09833330819822829,0.09912210146699234,I'm feeling so happy and a little bit giddy today!,It sounds like you are quite enthusiastic.
15,15,I feel thrilled today.,Sounds like you are thrilled.,0.06246917357669738,0.06384767971676732,0.07825364931356771,I am feeling very pleased today.,It sounds like you're absolutely buzzing with excitement!
14,14,I feel sleepy today.,Sounds like you are sleepy.,0.08176923815854698,0.08300759416796515,0.11220020935098385,I'm feeling a bit dozy today!,You sound like you need some sleep!
1,1,I feel sad today.,Sounds like you are sad.,0.04552833081239757,0.07174537302890012,0.04672816852888273,"Ugh, I'm feeling a bit down today.",It sounds as though you may be feeling a bit sad.
1,1,I feel sad today.,Sounds like you are sad.,0.04552833081239757,0.07174537302890012,0.04672816852888273,"I'm feeling a bit down in the dumps today, but I'm sure it'll pass.",It appears you are experiencing sadness.
7,7,I feel calm today.,Sounds like you are calm.,0.15356083156742012,0.16767213011383372,0.1603112088778384,I'm feeling so peaceful and relaxed today!,It sounds like you're feeling really peaceful and relaxed!
13,13,I feel satisfied today.,Sounds like you are satisfied.,0.12842150700667673,0.1296827869100335,0.15535153731228526,I'm feeling pretty good today.,It appears you are pleased.
19,19,I feel confused today.,Sounds like you are confused.,0.013150256130707185,0.01602835315688053,0.016595341860360227,"I'm feeling a little mixed up today, but that's okay!",It appears you may be experiencing some confusion.
3,3,I feel nervous today.,Sounds like you are nervous.,0.0765850380316523,0.08475461434852766,0.07970537285704872,I am experiencing a degree of apprehension today.,"Oh, it sounds like you might be feeling a little on edge! It's totally understandable."
11,11,I feel joyful today.,Sounds like you are joyful.,0.10262113222838073,0.12263429071470407,0.1039303610245043,I'm feeling pretty happy today!,You sound happy!
7,7,I feel calm today.,Sounds like you are calm.,0.15356083156742012,0.16767213011383372,0.1603112088778384,I'm feeling pretty chill today.,It sounds like you've found your calm!
17,14,I feel lonely today.,Sounds like you are sleepy.,0.0015686095713067347,0.010199315225875251,0.11220020935098385,"Feeling a bit lonely today, you know?",It appears you are experiencing a state of drowsiness.
14,14,I feel sleepy today.,Sounds like you are sleepy.,0.08176923815854698,0.08300759416796515,0.11220020935098385,I am feeling a bit tired today.,You sound like you need some shut-eye.
14,14,I feel sleepy today.,Sounds like you are sleepy.,0.08176923815854698,0.08300759416796515,0.11220020935098385,I am experiencing a feeling of sleepiness today.,It appears you are experiencing fatigue.
8,8,I feel excited today.,Sounds like you are excited.,0.09185522276145229,0.09833330819822829,0.09912210146699234,I'm feeling really happy and full of excitement today!,It appears you are experiencing a degree of enthusiasm.
8,8,I feel excited today.,Sounds like you are excited.,0.09185522276145229,0.09833330819822829,0.09912210146699234,I'm feeling pretty stoked today.,You sound so happy about this!
7,7,I feel calm today.,Sounds like you are calm.,0.15356083156742012,0.16767213011383372,0.1603112088778384,I'm feeling so wonderfully peaceful today!,It appears you are maintaining a calm demeanor.
1,1,I feel sad today.,Sounds like you are sad.,0.04552833081239757,0.07174537302890012,0.04672816852888273,I am experiencing feelings of sadness today.,"Aw, you sound a little down, huh?"
14,14,I feel sleepy today.,Sounds like you are sleepy.,0.08176923815854698,0.08300759416796515,0.11220020935098385,"Ugh, I'm so wiped out today.",It appears you may be experiencing fatigue.
14,14,I feel sleepy today.,Sounds like you are sleepy.,0.08176923815854698,0.08300759416796515,0.11220020935098385,I am experiencing a sensation of somnolence today.,It appears you may be feeling tired.
19,19,I feel confused today.,Sounds like you are confused.,0.013150256130707185,0.01602835315688053,0.016595341860360227,I'm feeling a bit mixed up today!,It appears there may be some confusion.
19,19,I feel confused today.,Sounds like you are confused.,0.013150256130707185,0.01602835315688053,0.016595341860360227,I am experiencing some confusion today.,It appears there may be some confusion on your part.
11,11,I feel joyful today.,Sounds like you are joyful.,0.10262113222838073,0.12263429071470407,0.1039303610245043,I'm feeling absolutely delighted today!,You sound pretty happy!
13,13,I feel satisfied today.,Sounds like you are satisfied.,0.12842150700667673,0.1296827869100335,0.15535153731228526,I am experiencing a sense of satisfaction today.,It appears you are pleased.
15,15,I feel thrilled today.,Sounds like you are thrilled.,0.06246917357669738,0.06384767971676732,0.07825364931356771,I'm super stoked today!,It sounds like you're absolutely buzzing with excitement!
14,14,I feel sleepy today.,Sounds like you are sleepy.,0.08176923815854698,0.08300759416796515,0.11220020935098385,I'm feeling a bit drowsy today.,It appears you are experiencing fatigue.
7,7,I feel calm today.,Sounds like you are calm.,0.15356083156742012,0.16767213011383372,0.1603112088778384,I'm feeling pretty chill today.,It appears you are feeling calm.
8,8,I feel excited today.,Sounds like you are excited.,0.09185522276145229,0.09833330819822829,0.09912210146699234,I am experiencing a feeling of elation today.,It appears you are expressing enthusiasm.
3,3,I feel nervous today.,Sounds like you are nervous.,0.0765850380316523,0.08475461434852766,0.07970537285704872,I am feeling a little apprehensive today.,You sound a little keyed up.
15,15,I feel thrilled today.,Sounds like you are thrilled.,0.06246917357669738,0.06384767971676732,0.07825364931356771,I am experiencing a great deal of joy today.,It appears you are experiencing considerable enthusiasm.
11,11,I feel joyful today.,Sounds like you are joyful.,0.10262113222838073,0.12263429071470407,0.1039303610245043,I'm feeling pretty happy today.,It sounds like you are experiencing a great deal of happiness.
5,5,I feel bored today.,Sounds like you are bored.,0.03513395329608976,0.03622373035898613,0.046158482927397666,I'm feeling a little bit blah today.,You sound bored.
12,13,I feel disappointed today.,Sounds like you are satisfied.,0.005063102162989895,0.04292780429058317,0.15535153731228526,"Man, I'm bummed out today.","So, sounds like you're happy with how things turned out, huh?"
11,11,I feel joyful today.,Sounds like you are joyful.,0.10262113222838073,0.12263429071470407,0.1039303610245043,I'm feeling pretty happy today.,You sound happy!
7,7,I feel calm today.,Sounds like you are calm.,0.15356083156742012,0.16767213011383372,0.1603112088778384,I'm feeling so peaceful and relaxed today.,You sound pretty chill.
3,3,I feel nervous today.,Sounds like you are nervous.,0.0765850380316523,0.08475461434852766,0.07970537285704872,I am experiencing some apprehension today.,You sound a little nervous there.
12,13,I feel disappointed today.,Sounds like you are satisfied.,0.005063102162989895,0.04292780429058317,0.15535153731228526,I am experiencing a feeling of disappointment today.,Your satisfaction is evident.
11,4,I feel joyful today.,Sounds like you are relaxed.,0.0012214788938420288,0.12263429071470407,0.01064009719240613,I'm feeling so happy today!,It appears you are feeling quite at ease.
13,13,I feel satisfied today.,Sounds like you are satisfied.,0.12842150700667673,0.1296827869100335,0.15535153731228526,I'm feeling pretty good today.,It appears you are satisfied with the outcome.
11,4,I feel joyful today.,Sounds like you are relaxed.,0.0012214788938420288,0.12263429071470407,0.01064009719240613,I'm feeling pretty great today!,It appears you are feeling quite relaxed.
14,14,I feel sleepy today.,Sounds like you are sleepy.,0.08176923815854698,0.08300759416796515,0.11220020935098385,I am feeling a bit drowsy today.,You sound pretty wiped out.
11,11,I feel joyful today.,Sounds like you are joyful.,0.10262113222838073,0.12263429071470407,0.1039303610245043,I am experiencing a sense of elation today.,You sound happy!
11,11,I feel joyful today.,Sounds like you are joyful.,0.10262113222838073,0.12263429071470407,0.1039303610245043,I am experiencing a sense of joy today.,It sounds like you're feeling wonderfully happy!
14,14,I feel sleepy today.,Sounds like you are sleepy.,0.08176923815854698,0.08300759416796515,0.11220020935098385,I am experiencing a sensation of drowsiness today.,"Aww, sounds like you're feeling a little sleepy! 😊"
8,8,I feel excited today.,Sounds like you are excited.,0.09185522276145229,0.09833330819822829,0.09912210146699234,I'm feeling pretty stoked today!,It appears you are expressing a considerable degree of enthusiasm.
3,3,I feel nervous today.,Sounds like you are nervous.,0.0765850380316523,0.08475461434852766,0.07970537285704872,I'm feeling a bit antsy today.,Your demeanor suggests a degree of apprehension.
1,1,I feel sad today.,Sounds like you are sad.,0.04552833081239757,0.07174537302890012,0.04672816852888273,I am experiencing a feeling of sadness today.,I understand you may be feeling sad.
13,13,I feel satisfied today.,Sounds like you are satisfied.,0.12842150700667673,0.1296827869100335,0.15535153731228526,I am experiencing a sense of satisfaction today.,It appears you are pleased with the outcome.
11,11,I feel joyful today.,Sounds like you are joyful.,0.10262113222838073,0.12263429071470407,0.1039303610245043,I am experiencing a feeling of joy today.,It sounds like you're absolutely beaming with happiness!
13,13,I feel satisfied today.,Sounds like you are satisfied.,0.12842150700667673,0.1296827869100335,0.15535153731228526,I am feeling quite content today.,That's wonderful to hear! It sounds like you're really happy with things.
5,5,I feel bored today.,Sounds like you are bored.,0.03513395329608976,0.03622373035898613,0.046158482927397666,I am experiencing a sense of quietude today.,It appears you may be experiencing a sense of boredom.
3,3,I feel nervous today.,Sounds like you are nervous.,0.0765850380316523,0.08475461434852766,0.07970537285704872,"I'm feeling a little fluttery today, but I'm sure it will pass!",It appears you may be experiencing a degree of apprehension.
0,14,I feel happy today.,Sounds like you are sleepy.,0.0011069592967296463,0.015657114770422868,0.11220020935098385,I am experiencing a sense of contentment today.,It appears you may be feeling a bit tired.
7,7,I feel calm today.,Sounds like you are calm.,0.15356083156742012,0.16767213011383372,0.1603112088778384,I am experiencing a state of tranquility today.,Your demeanor suggests a state of composure.
11,11,I feel joyful today.,Sounds like you are joyful.,0.10262113222838073,0.12263429071470407,0.1039303610245043,I'm feeling really happy and lighthearted today!,It sounds like you are experiencing a great deal of joy.
7,13,I feel calm today.,Sounds like you are satisfied.,0.0013279901974294968,0.16767213011383372,0.15535153731228526,I'm feeling so peaceful and settled today.,Looks like you're happy with it!
8,8,I feel excited today.,Sounds like you are excited.,0.09185522276145229,0.09833330819822829,0.09912210146699234,I am experiencing a sense of excitement today.,You sound stoked!
15,15,I feel thrilled today.,Sounds like you are thrilled.,0.06246917357669738,0.06384767971676732,0.07825364931356771,I'm absolutely buzzing with excitement today!,It appears you are expressing considerable enthusiasm.
7,7,I feel calm today.,Sounds like you are calm.,0.15356083156742012,0.16767213011383372,0.1603112088778384,I am feeling quite serene today.,Your demeanor appears to be composed.
10,10,I feel anxious today.,Sounds like you are anxious.,0.0038271090247582666,0.004049379873007551,0.009382328458980823,"Ugh, I'm feeling a bit jumpy today.",It appears you are experiencing anxiety.
13,13,I feel satisfied today.,Sounds like you are satisfied.,0.12842150700667673,0.1296827869100335,0.15535153731228526,I am feeling quite content today.,It sounds like you're happy with that!
7,14,I feel calm today.,Sounds like you are sleepy.,0.004780024006826561,0.16767213011383372,0.11220020935098385,I am experiencing a sense of tranquility today.,"Oh, you sound like you're ready for a good nap!"
11,11,I feel joyful today.,Sounds like you are joyful.,0.10262113222838073,0.12263429071470407,0.1039303610245043,I'm feeling such a wonderful sense of joy today!,It appears you are experiencing a great deal of happiness.
14,14,I feel sleepy today.,Sounds like you are sleepy.,0.08176923815854698,0.08300759416796515,0.11220020935098385,I'm feeling kinda tired today.,"Aw, you sound like you're ready for a cozy nap!"
15,15,I feel thrilled today.,Sounds like you are thrilled.,0.06246917357669738,0.06384767971676732,0.07825364931356771,I am experiencing a profound sense of elation today.,It appears you are quite enthusiastic.
3,3,I feel nervous today.,Sounds like you are nervous.,0.0765850380316523,0.08475461434852766,0.07970537285704872,"I'm feeling a bit jittery today, but I'm sure everything will be fine!",It appears you may be feeling a bit apprehensive.
15,15,I feel thrilled today.,Sounds like you are thrilled.,0.06246917357669738,0.06384767971676732,0.07825364931356771,I'm super stoked today.,It appears you are quite enthusiastic.
8,8,I feel excited today.,Sounds like you are excited.,0.09185522276145229,0.09833330819822829,0.09912210146699234,"Woohoo, I'm feeling pretty pumped today!",It is evident that you are experiencing a heightened sense of enthusiasm.
7,7,I feel calm today.,Sounds like you are calm.,0.15356083156742012,0.16767213011383372,0.1603112088778384,I'm feeling wonderfully serene today.,You seem pretty chill.
8,8,I feel excited today.,Sounds like you are excited.,0.09185522276145229,0.09833330819822829,0.09912210146699234,I'm feeling pretty stoked today!,It sounds like you're really buzzing with excitement!
18,18,I feel peaceful today.,Sounds like you are peaceful.,0.006413761410993383,0.009371886890846563,0.015933731486354765,I am experiencing a sense of tranquility today.,It appears you possess a calm and tranquil demeanor.
8,8,I feel excited today.,Sounds like you are excited.,0.09185522276145229,0.09833330819822829,0.09912210146699234,I'm feeling so happy and full of energy today!,You sound super pumped!
7,7,I feel calm today.,Sounds like you are calm.,0.15356083156742012,0.16767213011383372,0.1603112088778384,I am feeling quite serene today.,It is my understanding that you are feeling calm.
11,15,I feel joyful today.,Sounds like you are thrilled.,0.0029932777666524463,0.12263429071470407,0.07825364931356771,I am experiencing a sense of happiness today.,It appears you are experiencing a high degree of enthusiasm.
7,7,I feel calm today.,Sounds like you are calm.,0.15356083156742012,0.16767213011383372,0.1603112088778384,I am experiencing a state of calmness today.,It appears you are experiencing a sense of calmness.
1,13,I feel sad today.,Sounds like you are satisfied.,0.004974214544806148,0.07174537302890012,0.15535153731228526,I'm feeling a little down today.,It sounds like you're really happy with how things turned out!
3,3,I feel nervous today.,Sounds like you are nervous.,0.0765850380316523,0.08475461434852766,0.07970537285704872,I'm feeling a little butterflies in my stomach today.,"You sound a little anxious, huh?"
3,3,I feel nervous today.,Sounds like you are nervous.,0.0765850380316523,0.08475461434852766,0.07970537285704872,I'm feeling a bit antsy today.,It appears you exhibit signs of apprehension.
3,3,I feel nervous today.,Sounds like you are nervous.,0.0765850380316523,0.08475461434852766,0.07970537285704872,I am experiencing a degree of apprehension today.,You seem to be experiencing some apprehension.
3,3,I feel nervous today.,Sounds like you are nervous.,0.0765850380316523,0.08475461434852766,0.07970537285704872,I'm feeling a bit jittery today.,It sounds like you might be a little on edge! Let's take a deep breath together.
12,5,I feel disappointed today.,Sounds like you are bored.,0.002654458124995412,0.04292780429058317,0.046158482927397666,"Today, I am experiencing disappointment.","Aw, it sounds like you might be feeling a little bit bored! Let's see if we can find something fun to shake things up a bit. 😊"
3,5,I feel nervous today.,Sounds like you are bored.,0.0005937271875018635,0.08475461434852766,0.046158482927397666,I am experiencing a degree of apprehension today.,It appears you may be experiencing a lack of engagement.
7,7,I feel calm today.,Sounds like you are calm.,0.15356083156742012,0.16767213011383372,0.1603112088778384,I am experiencing a sense of calm today.,It sounds like you're feeling really at peace.
15,15,I feel thrilled today.,Sounds like you are thrilled.,0.06246917357669738,0.06384767971676732,0.07825364931356771,I am experiencing a sense of elation today.,"That's wonderful to hear, you sound absolutely delighted!"
8,8,I feel excited today.,Sounds like you are excited.,0.09185522276145229,0.09833330819822829,0.09912210146699234,I'm feeling pretty pumped up today!,It sounds like you're buzzing with excitement!
12,12,I feel disappointed today.,Sounds like you are disappointed.,0.02281493041821502,0.04292780429058317,0.023552390565437724,"Ugh, I'm feeling a bit bummed out today.","Oh, it sounds like you're feeling a bit disappointed, and that's totally understandable."
3,3,I feel nervous today.,Sounds like you are nervous.,0.0765850380316523,0.08475461434852766,0.07970537285704872,I am experiencing some nervousness today.,It appears you may be feeling a bit apprehensive.
4,4,I feel relaxed today.,Sounds like you are relaxed.,0.005430303967539691,0.006937281512503591,0.01064009719240613,Feeling pretty chill today.,You appear to be at ease.
1,1,I feel sad today.,Sounds like you are sad.,0.04552833081239757,0.07174537302890012,0.04672816852888273,I'm feeling a bit down today.,"Aw man, you sound bummed out."
3,3,I feel nervous today.,Sounds like you are nervous.,0.0765850380316523,0.08475461434852766,0.07970537285704872,I am experiencing some apprehension today.,You sound a little freaked out.
7,7,I feel calm today.,Sounds like you are calm.,0.15356083156742012,0.16767213011383372,0.1603112088778384,I'm feeling pretty chill today.,It sounds like you've found your calm!
3,3,I feel nervous today.,Sounds like you are nervous.,0.0765850380316523,0.08475461434852766,0.07970537285704872,I'm a bit antsy today.,It appears you may be experiencing some apprehension.
2,2,I feel angry today.,Sounds like you are angry.,0.0033030044804898,0.016514455484859854,0.005634045961058422,"Feeling a bit grumpy today, but I'm sending you good vibes anyway!",It sounds like you might be feeling a bit upset right now.
3,3,I feel nervous today.,Sounds like you are nervous.,0.0765850380316523,0.08475461434852766,0.07970537285704872,I am experiencing some nervousness today.,"It sounds like you might be feeling a little bit nervous, and that's totally okay!"
8,8,I feel excited today.,Sounds like you are excited.,0.09185522276145229,0.09833330819822829,0.09912210146699234,I'm feeling so happy and excited today!,It appears you are quite enthusiastic.
5,5,I feel bored today.,Sounds like you are bored.,0.03513395329608976,0.03622373035898613,0.046158482927397666,I am experiencing a feeling of boredom today.,It would appear that you are experiencing ennui.
7,7,I feel calm today.,Sounds like you are calm.,0.15356083156742012,0.16767213011383372,0.1603112088778384,I am feeling quite serene today.,You seem pretty chill.
9,7,I feel tired today.,Sounds like you are calm.,0.0008508248156018168,0.012692772713003814,0.1603112088778384,I am experiencing fatigue today.,It appears you are feeling calm.
13,13,I feel satisfied today.,Sounds like you are satisfied.,0.12842150700667673,0.1296827869100335,0.15535153731228526,Feeling pretty good today.,Looks like you're happy with that.
1,1,I feel sad today.,Sounds like you are sad.,0.04552833081239757,0.07174537302890012,0.04672816852888273,"Ugh, I'm feeling kinda blue today.",It sounds like you may be experiencing some sadness.
13,13,I feel satisfied today.,Sounds like you are satisfied.,0.12842150700667673,0.1296827869100335,0.15535153731228526,I am experiencing a sense of satisfaction today.,It appears you have found our offering satisfactory.
11,13,I feel joyful today.,Sounds like you are satisfied.,0.003715393093089992,0.12263429071470407,0.15535153731228526,I'm feeling so happy today!,That sounds like wonderful news! I'm so glad to hear you're happy.
1,14,I feel sad today.,Sounds like you are sleepy.,0.007744595874666983,0.07174537302890012,0.11220020935098385,I am experiencing a sense of melancholy today.,It appears you are experiencing a state of drowsiness.
14,14,I feel sleepy today.,Sounds like you are sleepy.,0.08176923815854698,0.08300759416796515,0.11220020935098385,"Man, I'm really feeling sleepy today.",You sound tired!
15,15,I feel thrilled today.,Sounds like you are thrilled.,0.06246917357669738,0.06384767971676732,0.07825364931356771,I'm feeling pretty stoked today.,It appears you are experiencing considerable enthusiasm.
1,1,I feel sad today.,Sounds like you are sad.,0.04552833081239757,0.07174537302890012,0.04672816852888273,I am experiencing a feeling of sadness today.,"Oh, it sounds like you might be feeling a little down. I'm here for you if you want to talk about it."
7,7,I feel calm today.,Sounds like you are calm.,0.15356083156742012,0.16767213011383372,0.1603112088778384,I am experiencing a sense of tranquility today.,It appears you are maintaining a calm demeanor.
13,13,I feel satisfied today.,Sounds like you are satisfied.,0.12842150700667673,0.1296827869100335,0.15535153731228526,I am experiencing a sense of satisfaction today.,Looks like you're happy with it.
13,13,I feel satisfied today.,Sounds like you are satisfied.,0.12842150700667673,0.1296827869100335,0.15535153731228526,I'm feeling pretty good today.,It appears you are satisfied.
3,14,I feel nervous today.,Sounds like you are sleepy.,0.0028727141277858047,0.08475461434852766,0.11220020935098385,I am experiencing a degree of apprehension today.,You sound tired.
5,5,I feel bored today.,Sounds like you are bored.,0.03513395329608976,0.03622373035898613,0.046158482927397666,I am experiencing a period of ennui today.,You sound like you're bored.
7,7,I feel calm today.,Sounds like you are calm.,0.15356083156742012,0.16767213011383372,0.1603112088778384,I'm feeling wonderfully peaceful today.,You sound pretty chill.
8,8,I feel excited today.,Sounds like you are excited.,0.09185522276145229,0.09833330819822829,0.09912210146699234,I am experiencing a feeling of excitement today.,It appears you are experiencing a high level of enthusiasm.
