Dataset,Model,Method,AUC,Spearman_PMI,Pearson_PMI,MSE_PMI
block,meta-llama-Llama-3.2-3B-Instruct-FP16,KDE_Pair,0.833 (0.003),0.434 (0.024),0.659 (0.020),9.181 (0.355)
block,meta-llama-Llama-3.2-3B-Instruct-FP16,KDE_Prompt,0.835 (0.005),0.365 (0.029),0.664 (0.017),1.986 (0.065)
block,meta-llama-Llama-3.2-3B-Instruct-FP16,MINE_Pair,0.855 (0.004),0.523 (0.065),0.692 (0.023),30.595 (5.306)
block,meta-llama-Llama-3.2-3B-Instruct-FP16,MINE_Prompt,0.841 (0.003),0.392 (0.039),0.752 (0.014),1.055 (1.130)
block,meta-llama-Llama-3.2-3B-Instruct-FP16,PMI_Pair,0.857 (0.001),0.555 (0.021),0.828 (0.007),0.632 (0.059)
block,meta-llama-Llama-3.2-3B-Instruct-FP16,PMI_Prompt,0.841 (0.004),0.406 (0.037),0.771 (0.017),0.404 (0.106)
diagonal,Phi-4-mini-instruct,Direct_MEEP,0.590 (0.006),0.106 (0.015),0.120 (0.034),5.781 (0.083)
diagonal,Phi-4-mini-instruct,InfoNCE_Pair,0.815 (0.009),0.134 (0.076),0.423 (0.035),8.869 (1.854)
diagonal,Phi-4-mini-instruct,InfoNCE_Prompt,0.841 (0.003),0.237 (0.050),0.561 (0.044),2.786 (1.086)
diagonal,Phi-4-mini-instruct,KDE_Pair,0.830 (0.004),0.387 (0.024),0.488 (0.015),15.130 (1.075)
diagonal,Phi-4-mini-instruct,KDE_Prompt,0.845 (0.004),0.407 (0.022),0.609 (0.021),5.167 (0.095)
diagonal,Phi-4-mini-instruct,MINE_Pair,0.856 (0.006),0.390 (0.077),0.615 (0.016),26.249 (6.751)
diagonal,Phi-4-mini-instruct,MINE_Prompt,0.860 (0.003),0.473 (0.032),0.618 (0.010),44.496 (11.139)
diagonal,Phi-4-mini-instruct,PMI_Pair,0.855 (0.007),0.383 (0.052),0.660 (0.012),1.523 (0.183)
diagonal,Phi-4-mini-instruct,PMI_Prompt,0.858 (0.004),0.490 (0.013),0.664 (0.009),1.728 (0.251)
diagonal,Qwen3-0.6B,Direct_MEEP,0.538 (0.008),0.006 (0.018),0.021 (0.022),6.021 (0.054)
diagonal,Qwen3-0.6B,InfoNCE_Pair,0.833 (0.008),0.263 (0.033),0.440 (0.027),14.998 (2.426)
diagonal,Qwen3-0.6B,InfoNCE_Prompt,0.787 (0.009),0.087 (0.030),0.387 (0.026),8.500 (6.521)
diagonal,Qwen3-0.6B,KDE_Pair,0.837 (0.002),0.280 (0.019),0.470 (0.022),5.180 (0.048)
diagonal,Qwen3-0.6B,KDE_Prompt,0.770 (0.005),0.258 (0.016),0.381 (0.010),8.336 (0.041)
diagonal,Qwen3-0.6B,MINE_Pair,0.843 (0.005),0.405 (0.030),0.423 (0.098),180.893 (56.691)
diagonal,Qwen3-0.6B,MINE_Prompt,0.824 (0.004),0.367 (0.037),0.518 (0.025),58.645 (91.388)
diagonal,Qwen3-0.6B,PMI_Pair,0.826 (0.069),0.351 (0.260),0.438 (0.237),7.045 (2.866)
diagonal,Qwen3-0.6B,PMI_Prompt,0.810 (0.003),0.366 (0.008),0.525 (0.012),3.210 (0.934)
diagonal,Qwen3-1.7B,Direct_MEEP,0.543 (0.011),0.053 (0.013),0.048 (0.024),5.926 (0.082)
diagonal,Qwen3-1.7B,InfoNCE_Pair,0.828 (0.018),0.252 (0.090),0.433 (0.054),9.665 (2.087)
diagonal,Qwen3-1.7B,InfoNCE_Prompt,0.819 (0.005),0.297 (0.032),0.545 (0.030),9.884 (8.883)
diagonal,Qwen3-1.7B,KDE_Pair,0.830 (0.005),0.313 (0.013),0.403 (0.015),7.368 (0.344)
diagonal,Qwen3-1.7B,KDE_Prompt,0.802 (0.002),0.222 (0.015),0.392 (0.009),6.756 (0.086)
diagonal,Qwen3-1.7B,MINE_Pair,0.856 (0.006),0.489 (0.049),0.469 (0.033),67.404 (22.712)
diagonal,Qwen3-1.7B,MINE_Prompt,0.840 (0.005),0.459 (0.009),0.589 (0.021),52.908 (11.390)
diagonal,Qwen3-1.7B,PMI_Pair,0.863 (0.004),0.457 (0.038),0.571 (0.018),2.924 (0.139)
diagonal,Qwen3-1.7B,PMI_Prompt,0.832 (0.004),0.468 (0.016),0.608 (0.008),2.545 (0.762)
diagonal,Qwen3-4B,Direct_MEEP,0.557 (0.018),0.012 (0.044),0.050 (0.035),5.948 (0.161)
diagonal,Qwen3-4B,InfoNCE_Pair,0.841 (0.007),0.285 (0.076),0.488 (0.014),7.361 (1.303)
diagonal,Qwen3-4B,InfoNCE_Prompt,0.829 (0.006),0.202 (0.018),0.549 (0.015),4.612 (1.841)
diagonal,Qwen3-4B,KDE_Pair,0.836 (0.005),0.364 (0.012),0.491 (0.009),9.931 (0.187)
diagonal,Qwen3-4B,KDE_Prompt,0.833 (0.003),0.382 (0.021),0.543 (0.007),5.642 (0.080)
diagonal,Qwen3-4B,MINE_Pair,0.863 (0.005),0.464 (0.057),0.533 (0.034),51.173 (10.705)
diagonal,Qwen3-4B,MINE_Prompt,0.854 (0.002),0.445 (0.022),0.611 (0.014),26.183 (9.451)
diagonal,Qwen3-4B,PMI_Pair,0.869 (0.003),0.429 (0.064),0.619 (0.027),2.106 (0.353)
diagonal,Qwen3-4B,PMI_Prompt,0.847 (0.003),0.458 (0.009),0.629 (0.007),1.942 (0.257)
diagonal,Qwen3-8B,Direct_MEEP,0.676 (0.004),0.207 (0.013),0.321 (0.029),5.231 (0.067)
diagonal,Qwen3-8B,InfoNCE_Pair,0.820 (0.008),0.127 (0.068),0.435 (0.042),12.138 (1.771)
diagonal,Qwen3-8B,InfoNCE_Prompt,0.838 (0.004),0.264 (0.022),0.598 (0.036),2.397 (1.459)
diagonal,Qwen3-8B,KDE_Pair,0.818 (0.004),0.326 (0.015),0.419 (0.014),25.171 (1.184)
diagonal,Qwen3-8B,KDE_Prompt,0.839 (0.003),0.413 (0.019),0.594 (0.010),5.115 (0.114)
diagonal,Qwen3-8B,MINE_Pair,0.858 (0.005),0.412 (0.032),0.594 (0.010),26.076 (2.729)
diagonal,Qwen3-8B,MINE_Prompt,0.857 (0.004),0.464 (0.016),0.637 (0.007),7.802 (3.534)
diagonal,Qwen3-8B,PMI_Pair,0.858 (0.005),0.377 (0.013),0.626 (0.012),1.982 (0.296)
diagonal,Qwen3-8B,PMI_Prompt,0.852 (0.004),0.461 (0.010),0.659 (0.008),1.769 (0.207)
diagonal,meta-llama-Llama-3.2-3B-Instruct-FP16,Direct_MEEP,0.626 (0.006),0.168 (0.027),0.200 (0.021),5.578 (0.053)
diagonal,meta-llama-Llama-3.2-3B-Instruct-FP16,InfoNCE_Pair,0.844 (0.009),0.270 (0.109),0.469 (0.050),10.543 (1.562)
diagonal,meta-llama-Llama-3.2-3B-Instruct-FP16,InfoNCE_Prompt,0.838 (0.003),0.257 (0.024),0.598 (0.028),2.400 (0.456)
diagonal,meta-llama-Llama-3.2-3B-Instruct-FP16,KDE_Pair,0.848 (0.003),0.392 (0.012),0.516 (0.011),19.852 (0.917)
diagonal,meta-llama-Llama-3.2-3B-Instruct-FP16,KDE_Prompt,0.841 (0.003),0.384 (0.022),0.590 (0.004),5.028 (0.129)
diagonal,meta-llama-Llama-3.2-3B-Instruct-FP16,MINE_Pair,0.873 (0.005),0.472 (0.050),0.513 (0.016),88.532 (13.319)
diagonal,meta-llama-Llama-3.2-3B-Instruct-FP16,MINE_Prompt,0.854 (0.004),0.475 (0.020),0.634 (0.017),12.449 (2.647)
diagonal,meta-llama-Llama-3.2-3B-Instruct-FP16,PMI_Pair,0.879 (0.002),0.498 (0.018),0.625 (0.027),3.028 (0.382)
diagonal,meta-llama-Llama-3.2-3B-Instruct-FP16,PMI_Prompt,0.848 (0.004),0.478 (0.014),0.647 (0.017),2.093 (0.535)
independent,Phi-4-mini-instruct,Direct_MEEP,0.498 (0.005),0.022 (0.019),-0.009 (0.029),1.227 (0.026)
independent,Phi-4-mini-instruct,InfoNCE_Pair,0.502 (0.002),-0.012 (0.015),-0.015 (0.018),9.786 (10.345)
independent,Phi-4-mini-instruct,InfoNCE_Prompt,0.516 (0.002),0.086 (0.026),0.079 (0.026),5.817 (6.019)
independent,Phi-4-mini-instruct,KDE_Pair,0.524 (0.011),0.088 (0.022),0.102 (0.025),16.904 (0.881)
independent,Phi-4-mini-instruct,KDE_Prompt,0.516 (0.004),0.025 (0.021),0.014 (0.011),3.334 (0.130)
independent,Phi-4-mini-instruct,MINE_Pair,0.504 (0.003),0.000 (0.055),0.007 (0.026),0.540 (0.176)
independent,Phi-4-mini-instruct,MINE_Prompt,0.522 (0.005),0.120 (0.017),0.098 (0.014),27.308 (52.609)
independent,Phi-4-mini-instruct,PMI_Pair,0.517 (0.016),0.078 (0.082),0.082 (0.091),0.229 (0.012)
independent,Phi-4-mini-instruct,PMI_Prompt,0.512 (0.007),0.122 (0.025),0.110 (0.009),0.255 (0.035)
independent,Qwen3-0.6B,Direct_MEEP,0.504 (0.010),-0.023 (0.020),-0.008 (0.013),1.231 (0.011)
independent,Qwen3-0.6B,InfoNCE_Pair,0.542 (0.011),0.180 (0.043),0.198 (0.057),15.485 (4.376)
independent,Qwen3-0.6B,InfoNCE_Prompt,0.513 (0.005),0.008 (0.011),0.034 (0.017),23.007 (40.962)
independent,Qwen3-0.6B,KDE_Pair,0.531 (0.008),0.144 (0.022),0.152 (0.013),1.866 (0.027)
independent,Qwen3-0.6B,KDE_Prompt,0.512 (0.004),0.030 (0.011),0.021 (0.019),1.479 (0.007)
independent,Qwen3-0.6B,MINE_Pair,0.561 (0.011),0.303 (0.029),0.279 (0.031),104.046 (26.539)
independent,Qwen3-0.6B,MINE_Prompt,0.523 (0.009),0.040 (0.020),0.061 (0.013),11.448 (9.988)
independent,Qwen3-0.6B,PMI_Pair,0.563 (0.011),0.318 (0.029),0.310 (0.038),5.446 (2.557)
independent,Qwen3-0.6B,PMI_Prompt,0.508 (0.006),0.006 (0.046),0.018 (0.034),0.228 (0.009)
independent,Qwen3-1.7B,Direct_MEEP,0.505 (0.006),-0.005 (0.025),-0.006 (0.029),1.223 (0.025)
independent,Qwen3-1.7B,InfoNCE_Pair,0.541 (0.012),0.194 (0.023),0.191 (0.016),3.749 (2.917)
independent,Qwen3-1.7B,InfoNCE_Prompt,0.511 (0.005),0.005 (0.022),0.045 (0.033),7.844 (11.021)
independent,Qwen3-1.7B,KDE_Pair,0.529 (0.008),0.093 (0.032),0.102 (0.023),6.020 (0.249)
independent,Qwen3-1.7B,KDE_Prompt,0.513 (0.010),0.028 (0.024),0.001 (0.021),1.959 (0.032)
independent,Qwen3-1.7B,MINE_Pair,0.564 (0.007),0.342 (0.034),0.335 (0.044),2.289 (0.660)
independent,Qwen3-1.7B,MINE_Prompt,0.517 (0.006),0.108 (0.023),0.128 (0.032),21.328 (16.693)
independent,Qwen3-1.7B,PMI_Pair,0.574 (0.005),0.365 (0.025),0.367 (0.030),0.591 (0.088)
independent,Qwen3-1.7B,PMI_Prompt,0.521 (0.004),0.054 (0.029),0.076 (0.027),0.252 (0.013)
independent,Qwen3-4B,Direct_MEEP,0.500 (0.007),-0.022 (0.026),-0.025 (0.016),1.242 (0.018)
independent,Qwen3-4B,InfoNCE_Pair,0.545 (0.012),0.219 (0.082),0.233 (0.068),2.781 (1.257)
independent,Qwen3-4B,InfoNCE_Prompt,0.516 (0.003),0.037 (0.017),0.033 (0.016),3.188 (3.290)
independent,Qwen3-4B,KDE_Pair,0.528 (0.004),0.083 (0.030),0.073 (0.025),10.571 (0.308)
independent,Qwen3-4B,KDE_Prompt,0.520 (0.008),0.048 (0.018),0.029 (0.018),1.699 (0.018)
independent,Qwen3-4B,MINE_Pair,0.567 (0.008),0.383 (0.012),0.382 (0.019),2.385 (1.076)
independent,Qwen3-4B,MINE_Prompt,0.518 (0.004),0.047 (0.029),0.051 (0.017),19.034 (25.263)
independent,Qwen3-4B,PMI_Pair,0.575 (0.006),0.425 (0.017),0.425 (0.011),0.554 (0.127)
independent,Qwen3-4B,PMI_Prompt,0.511 (0.003),0.044 (0.032),0.046 (0.018),0.256 (0.006)
independent,Qwen3-8B,Direct_MEEP,0.502 (0.007),-0.022 (0.036),-0.027 (0.025),1.246 (0.025)
independent,Qwen3-8B,InfoNCE_Pair,0.537 (0.006),0.202 (0.093),0.200 (0.056),2.128 (0.386)
independent,Qwen3-8B,InfoNCE_Prompt,0.521 (0.001),-0.012 (0.018),0.015 (0.023),3.545 (1.001)
independent,Qwen3-8B,KDE_Pair,0.525 (0.005),0.056 (0.020),0.064 (0.021),27.010 (0.677)
independent,Qwen3-8B,KDE_Prompt,0.517 (0.012),0.043 (0.022),0.020 (0.021),4.732 (0.186)
independent,Qwen3-8B,MINE_Pair,0.566 (0.008),0.391 (0.023),0.391 (0.027),1.195 (0.350)
independent,Qwen3-8B,MINE_Prompt,0.532 (0.006),0.078 (0.022),0.089 (0.030),5.926 (7.212)
independent,Qwen3-8B,PMI_Pair,0.567 (0.006),0.399 (0.020),0.405 (0.025),0.398 (0.075)
independent,Qwen3-8B,PMI_Prompt,0.524 (0.007),0.057 (0.023),0.068 (0.027),0.253 (0.008)
independent,meta-llama-Llama-3.2-3B-Instruct-FP16,Direct_MEEP,0.504 (0.005),0.010 (0.012),0.013 (0.022),1.209 (0.020)
independent,meta-llama-Llama-3.2-3B-Instruct-FP16,InfoNCE_Pair,0.556 (0.006),0.278 (0.034),0.315 (0.028),4.102 (0.795)
independent,meta-llama-Llama-3.2-3B-Instruct-FP16,InfoNCE_Prompt,0.513 (0.003),0.008 (0.011),0.036 (0.015),3.571 (4.536)
independent,meta-llama-Llama-3.2-3B-Instruct-FP16,KDE_Pair,0.538 (0.011),0.177 (0.023),0.191 (0.020),25.573 (1.060)
independent,meta-llama-Llama-3.2-3B-Instruct-FP16,KDE_Prompt,0.518 (0.011),0.045 (0.027),0.022 (0.016),2.617 (0.099)
independent,meta-llama-Llama-3.2-3B-Instruct-FP16,MINE_Pair,0.580 (0.009),0.428 (0.031),0.446 (0.034),8.062 (0.618)
independent,meta-llama-Llama-3.2-3B-Instruct-FP16,MINE_Prompt,0.520 (0.006),0.108 (0.021),0.119 (0.024),3.357 (1.649)
independent,meta-llama-Llama-3.2-3B-Instruct-FP16,PMI_Pair,0.582 (0.006),0.467 (0.032),0.490 (0.032),0.987 (0.087)
independent,meta-llama-Llama-3.2-3B-Instruct-FP16,PMI_Prompt,0.517 (0.008),0.022 (0.024),0.039 (0.023),0.252 (0.010)
