dialog_key,context,response
HOLLED-008975,"Which is your favourite character in this?
My favorite character was billy costigan as he has great development through the story.
Now I know that 'The Departed' is based off of the Hong Kong movie 'WuJianDao', but Scorsese really grabs hold of a great story and brings it to the American Screen.
I was quite underwhelmed by this movie as well. There's some good ingredients in the plot, but the movie just never really managed to get me emotionally involved enough with the characters.
Indeed the Departed felt flashy and well-executed in terms of the actors, dialogue, and production values, but lacked depth. (Almost the polar opposite of Last Temptation in that respect.) As for the Best Picture win, the Academy is notorious for giving out de facto lifetime achievement awards for somewhat arbitrary movies if a respected director or actor has yet to win the appropriate award.
Oh yes, I'm pretty sure this is what happened with Scorsese and The Departed. See also: Al Pacino and Scent of a Woman, Leo and The Revenant.",And it has Superb acting on top of brilliant storytelling
METALW-019540,"Hello how may I help you?
Can you help me?
I sure can! What do you need help with?",You can sort stuff?
MOVDIC-033356,"Your fly.
I am fly. And I'm da bomb. Just wait until later tonight.
Oh, man. I'm sorry.
You should be. Moron. What the hell's wrong with you?
It was an accident. I'm very sorry.
Where's the manager? Richard Worth is not paying to have his suit cleaned. Damn.  I'm going to... I don't believe this.
I think your date's going pretty well, what do you think?
What are you doing here?
What do you mean? I come here all the time.
I don't think so.","Sure. Lawyers, Judges, my kind of crowd. See that gentleman there, he sentenced me to 90 days in county once. We need to talk."
WOCHAT-000336,"what???
Charlie? It's SYSTEM_NAME.
I am speechless
I'm a little embarrassed.
I can imagine
I'm not sure she remembered me.
Charlie is a girl?
Oh, hi. Hi. Hey! Hi!
yeah hi
And when would you like to come in?","Tomorrow morning, is that possible?"
TPCCHT-001615,"hey hows it going ? are you a disney fan ?
i am ! i liked the frozen that came out in 2013 .
thats cool . yea frozen is a great movie ! its disney ' s 53rd animated feature film and its another classic
jennifer lee , the writer and co - director , is the first woman director of a walt disney animation studios feature film .
wow . after so long , disney is finally woke ! i believe she is also the first woman director of a feature film that earned more than $ 1 billion in gross box office revenue .
yes ! before "" let it go "" was written elsa was the main villain in frozen , however the song was so uplifting her character was changed instead of the song .
im glad they changed it ! the co - writer of that song let it go , robert lopez , is 1 of 12 people to have ever won an egot : emmy , grammy , oscar , and tony . what a talent !
nice ! disney renamed "" rapunzel "" to "" tangled "" and "" snow queen "" to "" frozen "" because they blamed feminine titles for underperforming box offices . odd .
it makes some sense . the must have thought they needed to cater to a larger audience and to men specifically considering it is a story about a fearless princess with icy powers .
yes . do you know what k - pop is ?","yea korean pop ! gangam style by psy is k - pop , isnt it ?"
TPCCHT-005528,"wow , that is a lot of tv episodes ! sometimes my room mate watches golf on tv , haha , very uneventful . i just listen to my albums i have downloaded on my phone haha
man i feel you on that , i hate golf , has to be the most boring sport ever created . do you like linkin park ?
i know golf is the worst even though there are so many golf courses in the us they take up more land space than rhode island and delaware haha very popular ! but on tv wow sooo slow .
yeah and there is a golf course in dubai that requires 4 million gallons of water a day , seems like such a huge waste of water .
wow ! these golf courses require a lot of care ! and yes , i love linkin park ! i have all of their albums on my phone and if given the chance watch them on youtube on my tv . . . . so sad chester passed away .
yeah it just goes to show no matter how much money you have , it is not a substitute for happiness . i doubt we hear any more music from them , at least not for a long time .
even if we do hear any more music it will never be the same . but their albums will be here forever .
yep same as nirvana , i still listen to them pretty often , and the with streaming services it is easier than ever to listen to whatever you want from any age .
very true . i love nirvana as well . i could just listen to music all day everyday instead of watching tv and be fine with it lol . one of my all time fav old albums is dark side of the moon . it was released over 40 years ago and still one of the best selling albums .
nwa ' s album straight outta compton was the first album to reach platinum status without airplay or a major tour , to bad they did not last long . the movie is pretty solid to .","definitely , i agree . i watched the movie on tv and really liked it . the album is awesome ! so do you have a favorite tv show ?"
WOWIKI-010446,"I won a beauty pageant once, but I really don't think it was worth the effort. How do you feel about beauty pageants?
Well, growing up in Texas they were part of the landscape! I know they're trying to update them from the traditional judging and ranking of the physical attributes only....how was your experience?
It was a long time ago, but pageants seem to be very different now. I think they're very expensive! Do you know about how much it costs to enter a pageant?","From what I understand it's a *huge* investment of time and money. I guess each pageant can set entry, age range, ""theme""....was it expensive when you competed?"
TPCCHT-004320,"yes , the smell of books is endearing and nostalgic . i havent been to the library in a while , but they are great for concentrating .
i would have like to see the library at alexandria . so much knowledge ! too bad it burned down so long ago .
yes , it burned down long ago , though there is a rumor that it has a backup of the internet . lol
i wish that were true ! all of the ships visiting alexandria had to give over their books for copying . i read somewhere that there were thousands of books there . what a waste ! too bad they couldn ' t have backups like we do .
yes , knowledge is precious and we need systems to preserve and disseminate it .
but we also need physical copies of everything . if we have a solar storm that is strong enough , it could wipe out all our internet data .
yes , that is true . and it could certainly happen . it has happened in the past and navigation was impossible .
i am afraid that we rely too much on our technology . it ' s scary to think about what would happen if it really was gone in an instant .
yes , we really cannot function without technology . many kids cannot go to the library and look up information in a book .
haha most kids can ' t tell time on a real clock and hey have no idea what a roman numeral is . shame !","yeah , the library is a great resource for learning , but if you dont use it , you cant learn . anyway , great chat !"
MOVDIC-013403,Salsa shark.,"""We're gonna need a bigger boat."" DANTE says even less than nothing."
MOVDIC-042548,"We were just trying to help!
This is humiliating!
Mom, no one knows it's you! I mean, you don't even have to read them if you don't want to.  Although obviously, a lot of guys are interested in dating you.
No. A lot of guys are interested in dating you and Lexi.  What did you say about me, anyway?
""Beautiful musician, late 40's, tired of playing solo --
-- seeks a healthy, stable, attractive man who's not afraid of a duet with a strong, independent woman.
My violin playing will feed your soul...","...And my lasagna will be music to your palate."""
MOVDIC-037224,"Over forty years now. Me and Ray Gibson out there.
Forty years. That's a long time for any crime, even murder.
It's a hell of a lot longer when you're innocent.
Half the men in this prison swear they're innocent. Don't you think that's kinda funny?
You have to forgive me if I don't laugh.
You and Wilkins sure are getting chummy. You two planning on going steady, or something?
He's just a lonely old man. He likes to talk.
Hey, I'm a lonely old man. I like to talk, too. So why don't we start by talking about what kind of a plan you're working on?
I'm not working on a plan.
You can't fool me, Claude. I know you got something brewing.","Goodnight, Ray."
TPCCHT-000268,"do you enjoy baseball ?
yes . just haven ' t followed it in the past few years .
me neither i just like to watch the world series from time to time , its a sport with a lot of history .
find it funny that the isotopes , a minor league , was named after a team on the simpsons
that is funny , i used to love them in the simpsons do you like the yankees ? that is one of the most popular teams .",i ' m a phillies person . i like that the yankees uniforms doesn ' t have the players names on their back . interesting concept .
MOVDIC-049942,"You once were a vegone, but now you will be gone!
Vegone?
Uh, sorry I guess.
Sorry? You just headbutted my boyfriend so hard he burst.
You kicked my heart in the ass. So I guess we're even. Natalie.
No one calls me that anymore.",Maybe they should. Now let's get out of here.
MOVDIC-013063,"I want to join you.
Join me? I don't understand.
I want you to make me a vampire.",Is it because you want to live forever? Because we don't.
PERCHT-010853,i have not seen my husband in weeks . he always works nights and i do days .,"maybe you should get a new husband , i am 40 and still love like i was younger ."
PERCHT-001403,"hello , how are you doing today ?
ok i missed my last practice due to anxiety
oh yeah ? practice for what ?
i participated in a talent showcase i skipped today cause i am shy
do you sing or dance or what ?
i like singing but its hard in public
i bet . i do not think i would ever be able to do that .",i started off in front of dogs then humans
MOVDIC-052219,"Reverend Mother! Quick! Where's Christy?
What's wrong?
They know she's here! They're on their way!",The rehearsal room!
DECODE-003547,"blue .
cool . mine is red .
My mother wore a hat with a Red Cross on it.
Sweet, did she work for the red cross?",She didn't but she was a nurse.
MPATHY-001303,"I cheated on my girl friend once and haven't told her.
Oh boy, that is a very delicate situation. Do you plan on telling her?",I feel guilty but I know I will lose her if I tell her.
MOVDIC-040549,"...I read you all the way on the Bontecou thing, and I know where you're coming from. And I'm with you a hundred and one percent.
Thank you, Quince.
But I've got to tell you, if mergers are in the wild, I've got some great prospects I've developed. I want to talk to you about them next week.
Next week?
Yeah. Or the week after. Quince sees Parrish hesitate. QUINCE  No good?","No, anything is possible.  It's up to Joe."
DECODE-026079,"I love Equestrianism, otherwise known as horseback riding. Do you ever try it?
I rode a horse a couple times. I like to watch Dressage on TV sometimes. Do you like it?
That's the highly skilled form of riding with competitions? Yeah I've tried a few little things, but I'm no expert!
Exactly. There is also steeplechase and vaults. It was so sad when Christopher Reeve had his accident on the horse.",Yes I agree.. he achieved such stardom for his acting. I actually lost someone in my family to a horse riding accident many years ago.
MOVDIC-038038,"I'm Warden Clements. This is Captain Henderson and Dr. Rogoff. Please, sit down.","Mr. and Mrs. Dayton, as you were told over the phone, your son, Peter, is here."
DECODE-030169,"I love alien invasion movies. Arrival was one of my favorites from several years ago. Its very typical of alien invasion stories of aliens coming to earth to either invade or observe.
Arrival ? When was the movie produced?
It was made in 2016. Its different from other alien invasion films where aliens come just to enslave or destroy humans,
OK ,who was the producer of the movie?",It was produced by several production companies. It deals alot with current affairs and the threats we face from other countries.
CORMOV-044540,We can get a warrant if you like.,"No, take it."
TPCCHT-007571,"yes , some people are sure kicking themselves for that decision ! i wonder why the facebook like button is illegal in schleswig - holstein , a state in germany
that ' s a great question . another might be why burger king gave out free whoppers to people who unfriended 10 people on facebook .
that is true . i wonder who thought of that and why . wouldn ' t it be better to make friends in order to share the promotion ?
you would think ! i wonder how many unfriended me for the deal ?
haha . . . maybe some people unfriended me for free . iceland is even using facebook to rewrite their constitution , allowing the public to make changes and suggestions .
i am not sure i would be as trusting if it was in the us . maybe most of us will just be watching some brand of football anyway ?
football has gained so much popularity over the years too . before , bowlers made twice as much as the top football stars .
it certainly has come a long way from it ' s prehistoric roots where some sort of ball game seemed to take place in many different parts of the world .
speaking of prehistoric roots , apparently hiccups are from early evolution when land animals had gills and lungs .
interesting and today animals have guaranteed rights in places like germany !","and in scotland , the loch ness monster is a protected species under the 1912 scottish protection of animals act !"
TPCCHT-010347,"i didn ' t know that that the word cinematography came from ancient greek
yeah that ' s really interesting ! it ' s crazy that a woman ' s never been nominated for the oscar for it , too .
right ? ! it seems only a few are recognized repeatedly
must be , yeah ! that poor guy who has been nominated 13 times . . .
he is like the leonardo dicaprio of cinematography
it ' s true ! surprised by the idea that robots can change their personality depending on which rat brain is used , interesting !
i would have loved to seen a 50ft moon walking robot .",seriously ! especially one just wandering the desert
DECODE-024181,"__SILENCE__
hi there , how are you doing ?
doing well . how are you ?
pretty good . what do you do for fun ?
not much . i like the outdoors . going to the beach , hiking etc .
cool . i love cooking elaborate meals for my friends .",i am a vegan myself . do you eat meat ?
PERCHT-005147,"i often use music while teaching my kindergarten class .
that sounds like a lot of fun . do you like movies as well ?
yes but have not seen many until recently since i just graduated in 2016 .
oh ok . i like watching funny movies . i like to laugh alot
do you enjoy water sports like kayaking or canoeing ?
i do not play water sports much . i however like tennis
if you saw me play tennis you would laugh alot .
my dads a veteran i try to get him to play to stay in shape
that is a good idea . staying is shape is important .
what do you do for fun ? other than water sports ?",i enjoy reading and crocheting for charity .
TPCCHT-010109,"hi , are you a football fan ?
nfl ? yes . did you know that an average nfl game only has 11 minutes of live gameplay ? seems small .
i didn ' t know that exact figures but i knew it wasn ' t much . and yet we all watch . go figure .
we are starved for violence . we like gladiators and combat . could women be in there though ? the nfl has no rule against female players .","i think if they ' re good enough they should be allowed . but , i wonder if they can get that strong . you ?"
DECODE-033887,my sister and i love classical music and we pole dance . call me dirty red .,"hello dirty red , i am a high school student . i just won homecoming queen !"
CMUDOG-001739,"The songs are really catchy, too. Very much Broadway-style.
I would really love to see the broadway play.
Did you know that it was inspired by Hans Christian Andersen's ""The Snow Queen?"" I had no idea.
Nope, I didn't. Did you like that pet reindeer? I sure did!
Yes, Sven! So cute - it's funny how a character with no lines can be so funny! Who was your favorite character?
I think the snowman was great.
Yes, Olaf is so fun. Did you think the movie deserved its rave reviews?
Absolutely, kids loved it and it was interesting for adults as well.
I definitely agree. It's one movie that I think everyone can enjoy. I know my kids could watch it over and over.
Did you understand the magic? I didn't quite get it.",I don't think they ever really explained how Elsa got her powers. That was a little confusing.
MOVDIC-050167,"You have to play, Sid. Don't want to disappoint your dad. He's been waiting around all night.
It's an easy game. We ask you a question. If you get it wrong--you die.
And if you get it right--you die.
You're crazy--both of you.
The official term is ""psychotic"".
You'll never get away with this.
Tell that to Cotton Weary. You wouldn't believe how easy it was to frame him.
Yeah, we just watched a few movies. Took a few notes. It was fun.
Why did you kill my mother?
Why? WHY? Did you hear that, Stu? I think she wants a motive. Hmmm...I don't really believe in motives, Sid. I mean, did Norman Bates have a motive?",Nope.
CORMOV-047827,"You saved me from the arrow...
But not from your destiny.",I want to thank you.
MOVDIC-041879,Dad - turn around. You have to see the game.,"No, I don't."
METALW-001380,Hello how may I help you?,i need a reminder set
DECODE-010578,__SILENCE__,"hi there , how are you ?"
DECODE-026181,"I feel I can do things on my own. I didn't always feel this way, so it's nice
Has something changed lately?
no ive just been working hard for whatever i want
Oh ok. I'm the same, I hate losing so I always give it my all.",me too im an orphan so i learnt to rely on myself
CORMOV-035937,Landon!,Later.
TPCCHT-005687,"hi ! are you familiar with the scandal surrounding kim kardashian and the white house ?
no ! i ' m learning about it now . it ' s pretty crayz . it makes sense since trump got his start on reality tv . i didn ' t know sylvester stallone also did something similar !
oh yeah but i don ' t think it was quite as publicized as the kardashian visit . nice to see that they used their platform for good causes .
i agree . that ' s one of the benefits of technology . kim heard about this through twitter which is a great platform for people to get awareness of their issues .
yeah , though the president also use twitter , i ' m not too certain what his agenda his for using that platform is .
yeah , i thik people weren ' t nice about it because as silly as it is , this president likes celebrities . they can do such good adn get results . kim kardashian is also a very accomplished person , she ' s the highest paid reality tv personality a few years ago earning $ 53 million ! ! !
that is a lot of money , probably from her various roles from being a tv personality , to entrepreneur , and socialite . what is even a socialite , do you know ?
someone who just goes out and spends money adn is famous for being wealthy and their social life . kim gets paid just to post a selfie on instagram and twitter advertising products ! imagine that .","wow , to make millions of dollars off of posting selfies , that seems like a lucrative job ! it ' s crazy to think how she got started in the entertainment industry in the first place , she must have a great pr team for turning that around !"
CMUDOG-002881,"I liked Good Will Hunting and this other movie about him other dudes in a small New England town. I don't think he's Batman.
Oh! You know, I did like that movie, and he was pretty good in that. Yeah, I agree with you.
I thought Christian Bale and Michael Keaton were a little bit better as Batman/Bruce Wayne.
Def Christian Bale.
Ben Affleck struck me more as Superman than Batman. Yep, Bale was a great Batman.
Interesting.
He has that dark edge that makes him feel like a tormented Batman. Are you a Batman fan?
And the Nolan movies were fabulous.
Oh those were great!
Liam as a bad guy. Yeah.
Yeah, definitely. He really pulled it off spectacularly.","I think we have to talk about THIS movie. Wouldn't Superman, like, always win?\"
HOLLED-002171,"What do you think about the movie?
I think it was a intresting way to show several points of view.
What scene did you like?
I liked the scene where the film begins in Mexico, where police officer Javier Rodriguez Rodriguez (Del Toro) and his partner, Manolo, stop a drug transport and arrest the couriers.
That was a good one.","I think the movie is visually stunning, loved the different filters for the three locations."
METALW-019432,"Hello how may I help you?
Can you sort the numbers 1, 5, 32, 53, 25 , 254, 2, 7 for me from smallest to largest
Of course!: 1, 2, 5, 7, 25, 32, 53, 254
Can you sort the letters n, g, j, a alphabetically for me?
Most definitely can! A, G, J, N
What other things can you sort?","I can sort all kinds of things, including age, size, distance, just to name a few"
MOVDIC-038495,Hello.,Hello.
CORMOV-010503,"Yes?
Were you recently in the bathroom?",What on earth gave you that idea?
WOWIKI-001739,"I would like to be a truck driver, or a lorry driver to our Irish friends across the sea
That does sound fun! Traveling the country! My dad was a truck driver when I was young.
Yeah it would be especially cool to own your truck and drive like some people do.
Yeah. I hear you can make more money like that by owning your own truck and then being a contractor!
It also feels good to provide an essential service to society since trucks are how most things get around.","Yeah, I'd imagine so! I wonder what will happen when we have self driving trucks."
HOLLED-007186,"Which was the best scene in the movie according to you?
I liked the one in which he would have to fight with his assistant whenever he goes home.
I used to do that with my brother.
LOL. But even the story was heartwarming. As a child, Princess Dala receives a gift from her father, the Shah of Lugash: the Pink Panther, the largest diamond in the world.
It gave the diamond true value.
But as a movie, the defining moment in The Pink Panther comes when Clouseau is finally asked by his wife to get her a sleeping pill.
All of the hotel room scenes were hilarious, and just escalated at such a lovely pace.","This is typical of this movie and this style: the jokes are so underplayed, quiet and perfectly paced."
DECODE-013110,"I want to learn Krav Maga which is a self-defence and fighting style used by Israel Defense Forces.
I've never heard of that, what can you tell me about it?
It's a combination of boxing, wrestling, judo, karate, fight training.
Interesting, what would you use it for, self defense or exercise?
It is used for real-world situations where the IDF needs to maintain peace or immobilize hostiles.",So do other military units besides Israel use it as well?
PERCHT-003280,"i am good hope you are doing well
good , i am well also . do you like sports ?
i do . i enjoy walking in the summer
i am a big soccer fan and play as goalie in a new team i joined
i have to wake up in the morning . i do not want to go to class .
what do you study in school ?
just the basics . i have to also move all my stuff this weekend .",new home ? i have to buy new cleats tomorrow . nike are my favorite
MOVDIC-046273,"Do you know how it ends?
Well, yeah ... I do.
So how does it end?
Well--see ... they're both running away--Huck and the slave ... And ... They go up the river ... But--in trying to get free they sort of see that they're free already.
Oh my God.
Wow!
Do you know this one?",Hunh?  Oh yeah ... Well this is great.  See--Holden Caulfield is like this really lonely kid...
DECODE-015998,"I ordered something online last week, and now I can't wait until it comes on the mail
oh thats cool",Do you order things online?
CORMOV-070261,"Excuse me, Lady Van Tassel... Katrina is not in her room.
No.  She has gone out.",Where?
TPCCHT-005735,"well , the coasts were always ahead of the midwest , i was in the last class in college to program with punch cards , but that will date me . i read where antarctica has a disc golf course , one wonders if it ' s open year around and if penguin get in the way like ducks and geese do on standard courses since they always have lots of lakes and food along the fairways .
the antarctica course is one of the trickiest . many golfers have died on the course , and that is the challenge : can you survive , or will you end up penguin food ?
that puts an added dimension to a non - contact sport like golf , i ' m surprised it not televised on fox . are you a football fan , my old landlord loved the steeler ' s and he ' d be delighted to know ben roethlisberger has the most wins at cleveland stadium even over cleveland quarterbacks . the world would stop on sunday for him to watch the steelers from our condo in new jersey . are you a football fan have a team out there ?
i do not watch football much these days . i try to catch the playoffs and the super bowl . you ?
well , i lived in kansas city for a decade and had season tickets at arrowhead and now live near boston so there ' s the whole patriot thing so for chiefs i ' m a fan and patriots when the locals do well i get cheap / free drinks so i ' m a fan once removed . arrowhead is a great time , but that first nfl playoff game in 1932 was an 80 yard dirt field inside chicago stadium shows just how recent football is in the us , now they don ' t get a 80 yard dirt track in a hockey stadium but a multi - billion dollar stadium funded usually by the local city not the owner .
yeah , the nfl has its humble beginnings . it has come a long way . now the players are stars and they make serious bank .
i get a lot of heck here in boston as the patriots won the last superbowl , the chiefs last superbowl was when nixon was president but i still where red . interesting up until 1978 tennis players could use any object as a racket , have you ever seen a list of objects used ? i have to think there were a few creative attempts at getting an advantage in the early days of professional tennis .
i guess . i dont know much about tennis . i suppose that players could try to get an advantage but in the end it is about playing ability and coaching i would say .
yes , i would agree with you . we talk about the budget deficit we passing on to our kids , but did you see the us military operates 234 gold courses world - wide at a cost of $ 140 , 000 , 000 . i ' d think if we got serious about balancing the budge there ' s some some room there to pare back the expenses .
perhaps but the military runs on golf . major decisions are made on the course . nothing can get done without officers drinking and golfing .","haha , yes , we might be crippled if we didn ' t have them . speaking of low cost sports , i must be a luddite . did you know the official name of the game i call ping pong is actually table tennis and ping pong is actually sells table tennis equipment . i ' ve been calling it by the wrong name all these years ."
MPATHY-010821,"My best friend stole my car last week
Are you serious","Yes, I had a bad feeling about him but I trusted him anyway, I want to find him and beat him up"
MOVDIC-026491,"How did this start?
I don't know. I just woke up. Just like always.
Hey, Phil! Phil Connors 1
Rita, this is Ned Ryerson. He's an asshole.",He remembers me!
WOWIKI-013408,"I want to play EuroBasket which is basically the Europian version of Basketball Championships
So it is basically the NBA or Europe?  That sounds interesting
Its the Europian Basketball Championship like the playoffs",I see.  Is it for all of Europe or just Western Europe?
WOWIKI-010923,"Have you ever played fantasy football.  It is a game in which participants serve as the managers of a virtual professional team.
Wow, I have never heard of that
Its great.  The competitors choose their players and team rosters.
OK..that must be an interesting game. I love football
Me too.  You can spend hours though playing it.  The points are based on the performances of the actual players in real life competitions.","Wow, that is cool"
DECODE-016702,"Really? I love the viola and its bass sound. Can you tell me more about it?
It is a deeper sound than the violin but higher than the cello or bass. There are pegs on it that you can adjust to change the pitch of each string.
Very interesting. I only really know about the violin. I have been playing it all my life.
A violin typically has four strings.  It is played by drawing a bow across these strings.
Yes, it is. Do you play these instruments?
Yes, I play guitar as a hobby. My oldest is a violinist, my youngest is a pianist.
Wow, a family of musicians! My mother teaches music at an elementary school so I understand that.
what does she teach ? mine teaches also cello lessons ! she taught me to play too .",She teaches general music. She can play seven different instruments.
DAILYD-006588,"What did he say ?
He said he would tell us the secret of becoming a successful man .
It ’ s too good to be true ! If I were there , I would ask him if he himself was a successful man .","Nobody would drive him up a wall by asking him such a question , you know ."
CMUDOG-001102,"Hello
hello
Sounds like a interesting film based off of Sleeping Beauty
I agree, have you seen the film?
Nope, but I have heard of Sleeping Beauty. The film stars Angelina Jolie so it should be alright
I think Angelina Jolie played a good Maleficent.","Great, she is a good actress. The movie is kind of old though made in 2014"
DECODE-003275,"Hello :) I am a huge fan of skateboarding. Do you enjoy skateboarding?
Yeah I do, even though I'm really bad at it.
Its crazy how the perspective of skateboarding has changed. It has went from a niche sport to now being in the olympics
It is? I never knew that it was in the Olympics!
It was announced in 2016. It is suppose to be in the 2020 Olympic games.
Oh that's pretty recent. What kind of skateboarding? Longboards or what?","I am sure it is all encompassing, but it could just mean a certain aspect of skateboarding like the X-games."
MOVDIC-039385,"In a way I felt bad for Big Dave. I knew the ten grand was going to pinch him where it hurt...
...But Doris was two-timing me and I guess, somewhere, that pinched a little too.
That was pretty.
...Did you make that up?
Oh, no. That was written by Mr Ludwig van Beethoven.
That was quite something.
He wrote some beautiful piano sonatas.
That was something. I'm Ed Crane.
I know who you are, Mr Crane.",...My father used to take me with him when he got his hair cut. Walter Abundas?
ELINES-000096,"Oh, Danielle! I wasn't expecting the machine... Give me a call when you get a chance.  Bye-bye.  Oh God!
That's
Hey, I've been honing!
What was with the dishes?
Oh, uh..
I want her to think I might be in a restaurant.. y'know?
I might have some kind of life, like I haven't been sitting around here honing for the past few hours.
Look look! He's doing it again, the guy with the telescope!
Oh my God!  Go away!  Stop looking in here!","Great, now he's waving back."
MOVDIC-050423,"He's right.
Yeah, that's the fairest way.
These four teams DO have the best records. Flint's only won six games all year!
So far. The season isn't over.
Yeah, maybe we should finish the season first.
This plan sounds like a lot of fun, but it's too late. The commissioner, me, has already decided.","Actually, the terms of a merger can only be approved by a league mandate."
DECODE-014548,"Do you have pets known as companion animals for company or entertainment?
I just have mine as pets they are like my kids
I have a pet dog mainly for protection since I live alone
Dont they also use dogs to help blind people?
Yes that is a medically approved therapy animal used to help people
That is really cool, is it hard to teach them that?",Not sure? I also have a dog for livestock herding but they are not considered pets they are working animals like lab animals
PERCHT-000071,"i love tattoos i want to get more only have 2
you have plenty of space for them .
yes indeed my dog keep eating my shoes
cat and dog makes a fun household . i am watching anime .
i do not like cats they have something weird about them
like playing the witch part ? lol
my dog like the night air he just lay on the porch at night
that is cat like . wow i am confused .
he will not lay on the porch no other time
gosh that is creepy . i am going to watch baseball now .",he is so weird i tell you
TPCCHT-004795,"do you like the n . b . a . ?
not really . . . i prefer football . i do know that tim duncan stayed in college before playing .
i ' m the same way . i do watch it from time to time . i admire tim duncan for staying in college for four years instead of going directly to the nba .","yeah . nba seems full of self aggrandizing thugs . oh well , physicists proved that shooting free throws "" granny style "" is more consistent ."
METALW-006218,"Hello how may I help you?
Can you check if I left the oven on?
Sure! The oven is currently set to off. Would you like to turn it on?
Heavens no. I'm at work. Did I shut the garage door?
I understand. I have checked all the doors and entrances. They are all currently closed. Do you have any more questions?
Oh thank god. Yeah. What bout the dungeon door?
Unfortunately, that is beyond my capabilities as I can not find dungeon door in your smart home set up. I'm sorry. Do you have any more questions?",Probably better that way. I think that's bout all
TPCCHT-005710,"did you know that tom brady ' s wife make twice as much as tom brady ? thats crazy
no , that was very interesting to me . i knew she was a model , but i assumed their salaries were more equitable .
right , or that his would be higher , also crazy that tom brady has never eaten a strawberry , like why not ? haha
yes , i agree with your comment and had read brady has a tight diet and exercise regime , but was surprised he had a problem with strawberries .
strawberries are so tasty , did you see that video of him kissing his son ? like he kissed him twice on the lips , theres a lot that that guy does that is kind of weird","i didn ' t see that video nor had heard of it . i guess it would depend on what type of kiss , but yes here in america that is considered weird ."
METALW-010112,"Hello how may I help you?
help me with Denver
How do you want me to help you with Denver?
do you know what is the tallest building there?
The Tallest Building is the Republis Plaza
when was it built?
It was built in 1978
do you know how many stories it has?
70 stories",thanks for the info
